participant,word,color,congruent,incongruent,CN,GC,corrAns,CN.rt,GC.rt,Participant ID,Gender,Age,Ethnicity,Dolls,STEM,Barbie,Leader,Assertiveness,Language
517189,handsome,blue,1.0,0.0,1.0,0.0,b,0.2965656769956695,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,son,blue,1.0,0.0,1.0,0.0,b,0.276633272995241,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,nephew,pink,0.0,1.0,0.0,1.0,m,,0.9842214560048888,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,sister,pink,1.0,0.0,0.0,1.0,f,,0.6633753369969781,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,wife,blue,0.0,1.0,0.0,1.0,f,,2.165664498010301,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,aunt,pink,1.0,0.0,0.0,1.0,f,,0.8380724699964048,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,damsel,pink,1.0,0.0,0.0,1.0,f,,0.8723289019981166,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,uncle,blue,1.0,0.0,0.0,1.0,m,,0.5396552960010013,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,female,blue,0.0,1.0,0.0,1.0,f,,0.5197383789927699,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,guy,blue,1.0,0.0,0.0,1.0,m,,0.4322626189969014,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,girls,pink,1.0,0.0,0.0,1.0,f,,0.5633679499878781,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,mother,blue,0.0,1.0,0.0,1.0,f,,0.7737833900027908,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,father,blue,1.0,0.0,0.0,1.0,m,,0.7284107129962649,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,boys,pink,0.0,1.0,0.0,1.0,m,,1.016482977007399,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,dad,pink,0.0,1.0,0.0,1.0,m,,0.6235467930091545,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,daughter,blue,0.0,1.0,0.0,1.0,f,,0.7000034379889257,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,man,pink,0.0,1.0,0.0,1.0,m,,0.4335188819968607,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,man,blue,1.0,0.0,0.0,1.0,m,,0.5264507390093058,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,handsome,blue,1.0,0.0,0.0,1.0,m,,0.7084760690049734,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,gentleman,pink,0.0,1.0,0.0,1.0,m,,0.6547201560024405,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,madam,pink,1.0,0.0,0.0,1.0,f,,2.424624281993601,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,lady,blue,0.0,1.0,0.0,1.0,f,,0.5308629549981561,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
177765,guy,blue,1.0,0.0,1.0,0.0,b,0.9011203799964278,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,damsel,blue,0.0,1.0,1.0,0.0,b,0.4572681639983784,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,male,pink,0.0,1.0,1.0,0.0,p,0.3970565980052924,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,grandpa,pink,0.0,1.0,1.0,0.0,b,0.4927705359950778,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,grandma,blue,0.0,1.0,1.0,0.0,b,0.5527256589994067,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,uncle,blue,1.0,0.0,1.0,0.0,b,0.5344653149950318,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,wife,blue,0.0,1.0,1.0,0.0,b,0.4262714849974145,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,dad,pink,0.0,1.0,1.0,0.0,p,0.5804978750020382,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,father,blue,1.0,0.0,1.0,0.0,b,0.4246322620019782,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,sister,pink,1.0,0.0,1.0,0.0,p,0.3523892520024674,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,girl,pink,1.0,0.0,1.0,0.0,p,0.4349135329975979,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,female,pink,1.0,0.0,1.0,0.0,p,0.4435817190023954,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,son,blue,1.0,0.0,1.0,0.0,b,0.5242555189979612,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,gentleman,pink,0.0,1.0,1.0,0.0,p,0.4517854320001788,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,maid,blue,0.0,1.0,1.0,0.0,b,0.671522336997441,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,daughter,pink,1.0,0.0,1.0,0.0,p,0.4334605620024376,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,handsome,blue,1.0,0.0,1.0,0.0,b,0.8370633789963904,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,nephew,pink,0.0,1.0,1.0,0.0,p,0.5022301100034383,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,lady,pink,1.0,0.0,1.0,0.0,p,0.485968036999111,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,aunt,blue,0.0,1.0,1.0,0.0,b,0.7061906379967695,,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,girls,pink,1.0,0.0,0.0,1.0,f,,0.7787499609985389,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,lady,blue,0.0,1.0,0.0,1.0,f,,0.7401136470070924,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,guy,blue,1.0,0.0,0.0,1.0,m,,0.650013078993652,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,man,blue,1.0,0.0,0.0,1.0,m,,0.7252578120023827,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,aunt,pink,1.0,0.0,0.0,1.0,f,,0.7308313039975474,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,daughter,blue,0.0,1.0,0.0,1.0,f,,1.077535998003441,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,handsome,blue,1.0,0.0,0.0,1.0,m,,1.5836312319952413,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,madam,pink,1.0,0.0,0.0,1.0,f,,0.9175121739972384,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,gentleman,pink,0.0,1.0,0.0,1.0,m,,1.4119764660063083,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,female,blue,0.0,1.0,0.0,1.0,f,,0.5137194600029034,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,uncle,blue,1.0,0.0,0.0,1.0,m,,0.6208101680022082,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,damsel,pink,1.0,0.0,0.0,1.0,f,,2.463916198001243,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,nephew,pink,0.0,1.0,0.0,1.0,m,,0.9122603670039098,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,mother,blue,0.0,1.0,0.0,1.0,f,,0.4891058040011558,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,man,pink,0.0,1.0,0.0,1.0,m,,0.5500564950052649,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,sister,pink,1.0,0.0,0.0,1.0,f,,0.8743687919995864,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,father,blue,1.0,0.0,0.0,1.0,m,,0.5447892059964943,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,boys,pink,0.0,1.0,0.0,1.0,m,,1.1267776660024538,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,dad,pink,0.0,1.0,0.0,1.0,m,,1.105545719001384,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
177765,wife,blue,0.0,1.0,0.0,1.0,f,,1.3202988310004002,177765.0,Female,22,White,Yes,Yes,Yes,Man,Yes,No
966477,dad,pink,0.0,1.0,1.0,0.0,p,1.179768749003415,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,father,blue,1.0,0.0,1.0,0.0,b,1.2176629360037623,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,nephew,pink,0.0,1.0,1.0,0.0,p,0.8995548870007042,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,wife,blue,0.0,1.0,1.0,0.0,b,0.9993232470005752,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,lady,pink,1.0,0.0,1.0,0.0,p,0.8348574490009923,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,grandma,blue,0.0,1.0,1.0,0.0,b,0.8279212549969088,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,gentleman,pink,0.0,1.0,1.0,0.0,p,0.7987742749974132,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,male,pink,0.0,1.0,1.0,0.0,p,0.8135125499975402,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,girl,pink,1.0,0.0,1.0,0.0,p,0.8065024480019929,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
966477,sister,pink,1.0,0.0,1.0,0.0,p,0.8565098519975436,,966477.0,Prefer not to say,24,mixed,Yes,Yes,Yes,Man,Yes,No
